cnae,denominacao,risco,regra_atualizacao,codigo_louos,denominacao_louos,enquadramento_texto,enquadramento1,ate_m2_1,enquadramento2,ate_m2_2,enquadramento3,acima_m2,codigo_tll,especificacao_tll,classificacao
0119-9/02,Cultivo de alho,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0119-9/03,Cultivo de batata-inglesa,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0119-9/03,Cultivo de batata-inglesa,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0119-9/04,Cultivo de cebola,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0119-9/04,Cultivo de cebola,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0119-9/05,Cultivo de feijão,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0119-9/05,Cultivo de feijão,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0119-9/06,Cultivo de mandioca,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0119-9/06,Cultivo de mandioca,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0119-9/07,Cultivo de melão,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0119-9/07,Cultivo de melão,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0119-9/08,Cultivo de melancia,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0119-9/08,Cultivo de melancia,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0119-9/09,Cultivo de tomate rasteiro,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0119-9/09,Cultivo de tomate rasteiro,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0119-9/99,Cultivo de outras plantas de lavoura temporária não especificadas anteriormente,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0119-9/99,Cultivo de outras plantas de lavoura temporária não especificadas anteriormente,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0121-1/01,"Horticultura, exceto morango",BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0121-1/01,"Horticultura, exceto morango",A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0121-1/02,Cultivo de morango,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0121-1/02,Cultivo de morango,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0122-9/00,Cultivo de flores e plantas ornamentais,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0122-9/00,Cultivo de flores e plantas ornamentais,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0131-8/00,Cultivo de laranja,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0131-8/00,Cultivo de laranja,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0132-6/00,Cultivo de uva,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0132-6/00,Cultivo de uva,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0133-4/01,Cultivo de açaí,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0133-4/01,Cultivo de açaí,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0133-4/02,Cultivo de banana,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0133-4/02,Cultivo de banana,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0133-4/03,Cultivo de caju,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0133-4/03,Cultivo de caju,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0133-4/04,"Cultivo de cítricos, exceto laranja",BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0133-4/04,"Cultivo de cítricos, exceto laranja",A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0133-4/05,Cultivo de coco-da-baía,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0133-4/05,Cultivo de coco-da-baía,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0133-4/06,Cultivo de guaraná,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0133-4/06,Cultivo de guaraná,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0133-4/07,Cultivo de maçã,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0133-4/07,Cultivo de maçã,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0133-4/08,Cultivo de mamão,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0133-4/08,Cultivo de mamão,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0133-4/09,Cultivo de maracujá,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0133-4/09,Cultivo de maracujá,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0133-4/10,Cultivo de manga,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0133-4/10,Cultivo de manga,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0133-4/11,Cultivo de pêssego,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0133-4/11,Cultivo de pêssego,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0133-4/99,Cultivo de frutas de lavoura permanente não especificadas anteriormente,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0133-4/99,Cultivo de frutas de lavoura permanente não especificadas anteriormente,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0134-2/00,Cultivo de café,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0134-2/00,Cultivo de café,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0135-1/00,Cultivo de cacau,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0135-1/00,Cultivo de cacau,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0139-3/01,Cultivo de chá-da-índia,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0139-3/01,Cultivo de chá-da-índia,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0139-3/02,Cultivo de erva-mate,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0139-3/02,Cultivo de erva-mate,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0139-3/03,Cultivo de pimenta-do-reino,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0139-3/03,Cultivo de pimenta-do-reino,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0139-3/04,"Cultivo de plantas para condimento, exceto pimenta-do-reino",BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0139-3/04,"Cultivo de plantas para condimento, exceto pimenta-do-reino",A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
