zona,grupo_uso,subgrupo,permissao,condicionante_ref,base_legal
ZDE 1,R2,R2-01,N,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,R2,R2-01,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,R2,R2-01,S,,Lei nº 9.148/2016 — Quadro 10
ZIT,R2,R2-01,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,R2,R2-02,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,R2,R2-02,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,R2,R2-02,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,R2,R2-02,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,R2,R2-02,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,R2,R2-02,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,R2,R2-02,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,R2,R2-02,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,R2,R2-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,R2,R2-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,R2,R2-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,R2,R2-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,R2,R2-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,R2,R2-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,R2,R2-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMe,R2,R2-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,R2,R2-02,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 1,R2,R2-02,N,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,R2,R2-02,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,R2,R2-02,S,,Lei nº 9.148/2016 — Quadro 10
ZIT,R2,R2-02,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,R3,R3-01,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,R3,R3-01,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,R3,R3-01,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,R3,R3-01,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,R3,R3-01,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,R3,R3-01,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,R3,R3-01,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,R3,R3-01,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,R3,R3-01,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,R3,R3-01,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,R3,R3-01,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,R3,R3-01,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,R3,R3-01,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,R3,R3-01,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,R3,R3-01,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMe,R3,R3-01,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,R3,R3-01,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 1,R3,R3-01,N,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,R3,R3-01,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,R3,R3-01,S,,Lei nº 9.148/2016 — Quadro 10
ZIT,R3,R3-01,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,R3,R3-02,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,R3,R3-02,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,R3,R3-02,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,R3,R3-02,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,R3,R3-02,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,R3,R3-02,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,R3,R3-02,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,R3,R3-02,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,R3,R3-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,R3,R3-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,R3,R3-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,R3,R3-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,R3,R3-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,R3,R3-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,R3,R3-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMe,R3,R3-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,R3,R3-02,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 1,R3,R3-02,N,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,R3,R3-02,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,R3,R3-02,N,,Lei nº 9.148/2016 — Quadro 10
ZIT,R3,R3-02,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,R3,R3-03,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,R3,R3-03,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,R3,R3-03,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,R3,R3-03,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,R3,R3-03,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,R3,R3-03,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,R3,R3-03,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,R3,R3-03,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,R3,R3-03,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,R3,R3-03,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,R3,R3-03,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,R3,R3-03,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,R3,R3-03,N,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,R3,R3-03,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,R3,R3-03,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMe,R3,R3-03,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,R3,R3-03,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 1,R3,R3-03,N,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,R3,R3-03,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,R3,R3-03,N,,Lei nº 9.148/2016 — Quadro 10
ZIT,R3,R3-03,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,EHIS,,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,EHIS,,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,EHIS,,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,EHIS,,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,EHIS,,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,EHIS,,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,EHIS,,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,EHIS,,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,EHIS,,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,EHIS,,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,EHIS,,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,EHIS,,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,EHIS,,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,EHIS,,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,EHIS,,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMe,EHIS,,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,EHIS,,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 1,EHIS,,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,EHIS,,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,EHIS,,S,,Lei nº 9.148/2016 — Quadro 10
ZIT,EHIS,,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,EHMP,,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,EHMP,,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,EHMP,,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,EHMP,,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,EHMP,,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,EHMP,,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,EHMP,,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,EHMP,,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,EHMP,,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,EHMP,,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,EHMP,,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,EHMP,,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,EHMP,,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,EHMP,,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,EHMP,,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMe,EHMP,,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,EHMP,,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 1,EHMP,,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,EHMP,,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,EHMP,,S,,Lei nº 9.148/2016 — Quadro 10
ZIT,EHMP,,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,nR1,nR1-01,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,nR1,nR1-01,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,nR1,nR1-01,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,nR1,nR1-01,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,nR1,nR1-01,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,nR1,nR1-01,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,nR1,nR1-01,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,nR1,nR1-01,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,nR1,nR1-01,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,nR1,nR1-01,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,nR1,nR1-01,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,nR1,nR1-01,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,nR1,nR1-01,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,nR1,nR1-01,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,nR1,nR1-01,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMe,nR1,nR1-01,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,nR1,nR1-01,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 1,nR1,nR1-01,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,nR1,nR1-01,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,nR1,nR1-01,S,,Lei nº 9.148/2016 — Quadro 10
ZIT,nR1,nR1-01,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,nR1,nR1-02,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,nR1,nR1-02,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,nR1,nR1-02,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,nR1,nR1-02,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,nR1,nR1-02,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,nR1,nR1-02,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,nR1,nR1-02,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,nR1,nR1-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,nR1,nR1-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,nR1,nR1-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,nR1,nR1-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,nR1,nR1-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,nR1,nR1-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,nR1,nR1-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,nR1,nR1-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMe,nR1,nR1-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,nR1,nR1-02,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 1,nR1,nR1-02,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,nR1,nR1-02,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,nR1,nR1-02,S,,Lei nº 9.148/2016 — Quadro 10
ZIT,nR1,nR1-02,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,nR1,nR1-03,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,nR1,nR1-03,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,nR1,nR1-03,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,nR1,nR1-03,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,nR1,nR1-03,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,nR1,nR1-03,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,nR1,nR1-03,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,nR1,nR1-03,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,nR1,nR1-03,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,nR1,nR1-03,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,nR1,nR1-03,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,nR1,nR1-03,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,nR1,nR1-03,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,nR1,nR1-03,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,nR1,nR1-03,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMe,nR1,nR1-03,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,nR1,nR1-03,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 1,nR1,nR1-03,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,nR1,nR1-03,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,nR1,nR1-03,S,,Lei nº 9.148/2016 — Quadro 10
ZIT,nR1,nR1-03,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,nR1,nR1-04,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,nR1,nR1-04,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,nR1,nR1-04,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,nR1,nR1-04,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,nR1,nR1-04,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,nR1,nR1-04,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,nR1,nR1-04,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,nR1,nR1-04,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,nR1,nR1-04,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,nR1,nR1-04,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,nR1,nR1-04,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,nR1,nR1-04,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,nR1,nR1-04,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,nR1,nR1-04,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,nR1,nR1-04,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMe,nR1,nR1-04,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,nR1,nR1-04,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 1,nR1,nR1-04,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,nR1,nR1-04,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,nR1,nR1-04,S,,Lei nº 9.148/2016 — Quadro 10
ZIT,nR1,nR1-04,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,nR1,nR1-05,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,nR1,nR1-05,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,nR1,nR1-05,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,nR1,nR1-05,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,nR1,nR1-05,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,nR1,nR1-05,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,nR1,nR1-05,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,nR1,nR1-05,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,nR1,nR1-05,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,nR1,nR1-05,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,nR1,nR1-05,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,nR1,nR1-05,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,nR1,nR1-05,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,nR1,nR1-05,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,nR1,nR1-05,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMe,nR1,nR1-05,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,nR1,nR1-05,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 1,nR1,nR1-05,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,nR1,nR1-05,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,nR1,nR1-05,S,,Lei nº 9.148/2016 — Quadro 10
ZIT,nR1,nR1-05,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,nR1,nR1-06,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,nR1,nR1-06,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,nR1,nR1-06,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,nR1,nR1-06,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,nR1,nR1-06,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,nR1,nR1-06,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,nR1,nR1-06,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,nR1,nR1-06,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,nR1,nR1-06,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,nR1,nR1-06,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,nR1,nR1-06,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,nR1,nR1-06,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,nR1,nR1-06,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,nR1,nR1-06,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,nR1,nR1-06,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMe,nR1,nR1-06,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,nR1,nR1-06,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 1,nR1,nR1-06,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,nR1,nR1-06,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,nR1,nR1-06,S,,Lei nº 9.148/2016 — Quadro 10
ZIT,nR1,nR1-06,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,nR1,nR1-07,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,nR1,nR1-07,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,nR1,nR1-07,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,nR1,nR1-07,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,nR1,nR1-07,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,nR1,nR1-07,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,nR1,nR1-07,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,nR1,nR1-07,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,nR1,nR1-07,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,nR1,nR1-07,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,nR1,nR1-07,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,nR1,nR1-07,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,nR1,nR1-07,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,nR1,nR1-07,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,nR1,nR1-07,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMe,nR1,nR1-07,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,nR1,nR1-07,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 1,nR1,nR1-07,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,nR1,nR1-07,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,nR1,nR1-07,S,,Lei nº 9.148/2016 — Quadro 10
ZIT,nR1,nR1-07,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,nR1,nR1-08,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,nR1,nR1-08,S(C),,Lei nº 9.148/2016 — Quadro 10
ZPR 3,nR1,nR1-08,S(C),,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,nR1,nR1-08,S(C),,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,nR1,nR1-08,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,nR1,nR1-08,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,nR1,nR1-08,S(C),,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,nR1,nR1-08,S(C),,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,nR1,nR1-08,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,nR1,nR1-08,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,nR1,nR1-08,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,nR1,nR1-08,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,nR1,nR1-08,S(C),,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,nR1,nR1-08,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,nR1,nR1-08,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMe,nR1,nR1-08,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,nR1,nR1-08,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 1,nR1,nR1-08,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,nR1,nR1-08,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,nR1,nR1-08,S(C),,Lei nº 9.148/2016 — Quadro 10
ZIT,nR1,nR1-08,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,nR1,nR1-09,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,nR1,nR1-09,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,nR1,nR1-09,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,nR1,nR1-09,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,nR1,nR1-09,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,nR1,nR1-09,S,,Lei nº 9.148/2016 — Quadro 10
