CNAE,Descrição do CNAE,Fator Multiplicador,Risco,Há condicionante?,Condicionante,Pergunta relacionada à condicionante,Pergunta complementar (direcionadora),Autorizado para Escritório Virtual?,Autorizado para MEI?,Macroárea,Exige RT?,Exige PBA?,Documentação específica por CNAE,Base Legal documentação específica por CNAE
1091-1/02,FABRICAÇÃO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINÂNCIA DE PRODUÇÃO PRÓPRIA,Não,Baixo,Não,−,−,−,Não,Sim,Alimentos,Não,,,
1092-9/00,FABRICAÇÃO DE BISCOITOS E BOLACHAS,Não,Baixo,Sim,"Desde que o resultado do exercício da atividade econômica não seja diferente de produto artesanal. Caso seja, será considerado Alto Risco.",O resultado do exercício da atividade econômica será diferente de produto artesanal?,−,Não,Sim,Alimentos,"Sim, caso seja Alto Risco",,,
1093-7/01,FABRICAÇÃO DE PRODUTOS DERIVADOS DO CACAU E DE CHOCOLATES,Não,Baixo,Sim,"Desde que o resultado do exercício da atividade econômica não seja diferente de produto artesanal. Caso seja, será considerado Alto Risco.",O resultado do exercício da atividade econômica será diferente de produto artesanal?,−,Não,Sim,Alimentos,"Sim, caso seja Alto Risco",,,
1093-7/02,"FABRICAÇÃO DE FRUTAS CRISTALIZADAS, BALAS E SEMELHANTES",Não,Baixo,Sim,"Desde que o resultado do exercício da atividade econômica não seja diferente de produto artesanal. Caso seja, será considerado Alto Risco.",O resultado do exercício da atividade econômica será diferente de produto artesanal?,−,Não,Sim,Alimentos,"Sim, caso seja Alto Risco",,,
1094-5/00,FABRICAÇÃO DE MASSAS ALIMENTÍCIAS,Não,Baixo,Sim,"Desde que o resultado do exercício da atividade econômica não seja diferente de produto artesanal. Caso seja, será considerado Alto Risco.",O resultado do exercício da atividade econômica será diferente de produto artesanal?,−,Não,Sim,Alimentos,"Sim, caso seja Alto Risco",,,
1095-3/00,"FABRICAÇÃO DE ESPECIARIAS, MOLHOS, TEMPEROS E CONDIMENTOS",Não,Baixo,Sim,"Desde que o resultado do exercício da atividade econômica não seja diferente de especiaria ou condimento desidratado produzido artesanalmente. Caso seja, será considerado Alto Risco.",O resultado da atividade econômica será diferente de especiairia ou condimento desidratado produzido artesanalmente?,−,Não,Sim,Alimentos,"Sim, caso seja Alto Risco",,,
1096-1/00,FABRICAÇÃO DE ALIMENTOS E PRATOS PRONTOS,Não,Baixo,Sim,"Desde que o resultado do exercício da atividade econômica não seja diferente de produto artesanal. Caso seja, será considerado Alto Risco.",O resultado do exercício da atividade econômica será diferente de produto artesanal?,−,Não,Sim,Alimentos,"Sim, caso seja Alto Risco",,,
1099-6/04,FABRICAÇÃO DE GELO COMUM,Não,Baixo,Sim,"Desde que o gelo fabricado não seja para consumo humano e não entre em contato com alimentos e bebidas. Caso seja, será considerado Alto Risco.",O gelo fabricado será para consumo humano ou entrará em contato com alimentos e bebidas?,−,Não,Sim,Alimentos,"Sim, caso seja Alto Risco",,,
1099-6/05,"FABRICAÇÃO DE PRODUTOS PARA INFUSÃO (CHÁ, MATE, ETC.)",Não,Médio,Sim,"Desde que o resultado do exercício da atividade econômica não seja diferente de produto artesanal. Caso seja, será considerado Alto Risco.",O resultado do exercício da atividade econômica será diferente de produto artesanal?,−,Não,Sim,Alimentos,"Sim, caso seja Alto Risco",,,
1099-6/99,FABRICAÇÃO DE OUTROS PRODUTOS ALIMENTÍCIOS NÃO ESPECIFICADOS ANTERIORMENTE,Não,Alto,Não,−,−,−,Não,Sim,Alimentos,Sim,,,
1122-4/03,"FABRICAÇÃO DE REFRESCOS, XAROPES E PÓS PARA REFRESCOS, EXCETO REFRESCOS DE FRUTAS",Não,Médio,Sim,"Desde que o resultado do exercício da atividade econômica não seja diferente de produto artesanal. Caso seja, será considerado Alto Risco.",O resultado do exercício da atividade econômica será diferente de produto artesanal?,−,Não,Sim,Alimentos,"Sim, caso seja Alto Risco",,,
1731-1/00,FABRICAÇÃO DE EMBALAGENS DE PAPEL,Não,Médio,Sim,"Desde que o produto gerado não entre em contato com alimento e não seja usado para embalar produto a ser esterilizado. Caso entre, será considerado Alto risco.",O produto gerado entra em contato com alimento ou é usado para embalar produto a ser esterilizado?,−,Não,Sim,Interesse da saúde,−,,,
1732-0/00,FABRICAÇÃO DE EMBALAGENS DE CARTOLINA E PAPEL CARTÃO,Não,Médio,Sim,"Desde que o produto gerado não entre em contato com alimento ou produto para saúde. Caso entre, será considerado Alto risco.",O produto gerado entra em contato com alimento ou produto para saúde?,−,Não,Sim,Interesse da saúde,−,,,
1733-8/00,FABRICAÇÃO DE CHAPAS E DE EMBALAGENS DE PAPELÃO ONDULADO,Não,Médio,Sim,"Desde que o produto gerado não entre em contato com alimento ou produto para saúde. Caso entre, será considerado Alto risco.",O produto gerado entra em contato com alimento ou produto para saúde?,−,Não,Não,Interesse da saúde,−,,,
2014-2/00,FABRICAÇÃO DE GASES INDUSTRIAIS,Não,Médio,Sim,"Desde que o gás fabricado não seja usado para fim terapêutico. Caso seja, será considerado Alto Risco.",O gás fabricado será usado para fim terapêutico?,−,Não,Não,Interesse da saúde,"Sim, caso seja Alto Risco",,,
2019-3/99,FABRICAÇÃO DE OUTROS PRODUTOS QUÍMICOS INORGÂNICOS NÃO ESPECIFICADOS ANTERIORMENTE,Não,Médio,Sim,"Desde que o resultado do exercício da atividade não seja produto de uso ou aplicação como aditivo de alimentos. Caso seja, será considerado Alto Risco.",O resultado do exercício da atividade será produto de uso ou aplicação como aditivo de alimentos?,−,Não,Não,Interesse da saúde,−,,,
2029-1/00,FABRICAÇÃO DE PRODUTOS QUÍMICOS ORGÂNICOS NÃO ESPECIFICADOS ANTERIORMENTE,Não,Médio,Sim,"Desde que o resultado do exercício da atividade não seja produto de uso ou aplicação como aditivo de alimentos. Caso seja, será considerado Alto Risco.",O resultado do exercício da atividade será produto de uso ou aplicação como aditivo de alimentos?,−,Não,Não,Interesse da saúde,−,,,
2052-5/00,FABRICAÇÃO DE DESINFETANTES DOMISSANITÁRIOS,Não,Alto,Não,−,−,−,Não,Não,Interesse da saúde,Sim,,,
2061-4/00,FABRICAÇÃO DE SABÕES E DETERGENTES SINTÉTICOS,Não,Alto,Não,−,−,−,Não,Não,Interesse da saúde,Sim,,,
2062-2/00,FABRICAÇÃO DE PRODUTOS DE LIMPEZA E POLIMENTO,Não,Alto,Não,−,−,−,Não,Não,Interesse da saúde,Sim,,,
2063-1/00,"FABRICAÇÃO DE COSMÉTICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL",Não,Alto,Não,−,−,−,Não,Não,Interesse da saúde,Sim,,,
2071-1/00,"FABRICAÇÃO DE TINTAS, VERNIZES, ESMALTES E LACAS",Não,Médio,Sim,"Desde que o resultado do exercício da atividade não seja utilizado para o revestimento interno de embalagens que entram em contato com alimentos; e não sejam tintas, vernizes, esmaltes, lacas, pigmentos e/ou corantes que utilizam precursores no processo de síntese química nestes compostos. Caso seja, será considerado Alto risco.","O resultado do exercício da atividade será utilizado para o revestimento interno de embalagens que entram em contato com alimentos e/ou o resultado do exercício da atividade serão tintas, vernizes, esmaltes, lacas, pigmentos e/ou corantes que utilizam precursores no processo de síntese química nestes compostos?",−,Não,Não,Interesse da saúde,−,,,
2091-6/00,FABRICAÇÃO DE ADESIVOS E SELANTES,Não,Médio,Sim,"Desde que o resultado do exercício da atividade não seja utilizado para o revestimento interno de embalagens que entram em contato com alimentos; e não sejam, adesivos, colas, decalques e selantes para uso industrial e doméstico de origem animal, vegetal e sintética que utilizam precursores no processo de síntese química destes compostos. Caso seja, será considerado Alto risco.","O resultado do exercício da atividade será utilizado para o revestimento interno de embalagens que entram em contato com alimentos e/ou  resultado do exercício da atividade serão adesivos, colas, decalques e selantes para uso industrial e doméstico de origem animal, vegetal e sintética que utilizam precursores no processo de síntese química destes compostos?",−,Não,Não,Interesse da saúde,−,,,
2093-2/00,"FABRICAÇÃO DE ADITIVOS DE USO INDUSTRIAL (Desde que o resultado do exercício da atividade não seja aditivo alimentar ou insumo farmacêutico, para cosméticos, perfumes e produto de higiene ou para indústria de produto para saúde ou saneantes)",Não,Médio,Sim,"Caso o resultado do exercício da atividade seja aditivo alimentar ou insumo farmacêutico, para cosméticos, perfumes e produto de higiene ou para indústria de produto para saúde ou saneantes, seu licenciamento será de competência da vigilância estadual.",−,−,Não,Não,Interesse da saúde,Não,,,
2219-6/00,FABRICAÇÃO DE ARTEFATOS DE BORRACHA NÃO ESPECIFICADOS ANTERIORMENTE,Não,Médio,Sim,"Desde que não haja a fabricação de preservativos ou de luvas para procedimentos médicos, odontológicos ou hospitalares. Caso seja, será Caso seja, será considerado Alto Risco.","Haverá a fabricação de preservativos ou de luvas para procedimentos médicos, odontológicos ou hospitalares?",−,Não,Sim,Interesse da saúde,"Sim, caso seja Alto Risco",,,
2222-6/00,FABRICAÇÃO DE EMBALAGEM DE MATERIAL PLÁSTICO,Não,Médio,Sim,"Desde que o resultado do exercício da atividade não seja embalagem de material plástico que entra em contato com alimento e/ou para diagnóstico de uso in vitro ou produto não estéril indicado para apoio a procedimentos de saúde. Caso seja, será considerado Alto risco.",O resultado do exercício da atividade será embalagem de material plástico que entra em contato com alimento e/ou para diagnóstico de uso in vitro ou produto não estéril indicado para apoio a procedimentos de saúde?,−,Não,Não,Interesse da saúde,−,,,
2312-5/00,FABRICAÇÃO DE EMBALAGENS DE VIDRO,Não,Médio,Sim,"Desde que não haja a fabricação de embalagens de vidro que entram em contato com alimento. Caso haja, será considerado Alto risco.",Haverá a fabricação de embalagens de vidro que entram em contato com alimento?,−,Não,Não,Interesse da saúde,−,,,
2341-9/00,FABRICAÇÃO DE PRODUTOS CERÂMICOS REFRATÁRIOS,Não,Médio,Sim,"Desde que não haja a fabricação de produtos refratários utilizados como embalagem que entre em contato com alimento. Caso seja, haja considerado Alto risco.",Haverá a fabricação de produtos refratários utilizados como embalagem que entre em contato com alimento?,−,Não,Não,Interesse da saúde,−,,,
2349-4/99,FABRICAÇAO DE PRODUTOS CERÂMICOS NÃO REFRATÁRIOS NÃO ESPECIFICADOS ANTERIORMENTE,Não,Médio,Sim,"Desde que não haja a fabricação de produtos cerâmicos não refratários utilizados como embalagem que entram em contato com alimento.  Caso haja, será considerado Alto risco.",Haverá a fabricação de produtos cerâmicos não refratários utilizados como embalagem que entrem em contato com alimento?,−,Não,Sim,Interesse da saúde,−,,,
2591-8/00,FABRICAÇÃO DE EMBALAGENS METÁLICAS,Não,Médio,Sim,"Desde que não haja a fabricação de embalagens metálicas que entram em contato com alimento. Caso haja, será considerado Alto risco.",Haverá a fabricação de embalagens metálicas que entrem em contato com alimento?,−,Não,Não,Interesse da saúde,−,,,
2829-1/99,"FABRICAÇÃO DE OUTRAS MÁQUINAS E EQUIPAMENTOS DE USO GERAL NÃO ESPECIFICADOS ANTERIORMENTE, PEÇAS E ACESSÓRIOS",Não,Médio,Sim,"Desde que não haja a fabricação de aparelhos, equipamentos/acessórios de aplicação em serviços de saúde e estética. Caso haja, será considerado Alto risco.","Haverá a fabricação de aparelhos, equipamentos/acessórios de aplicação em serviços de saúde e estética?",−,Não,Não,Interesse da saúde,"Sim, caso seja Alto Risco",,,
3092-0/00,"FABRICAÇÃO DE BICICLETAS E TRICICLOS NÃO MOTORIZADOS, PEÇAS E ACESSÓRIOS",Não,Médio,Sim,"Desde que não haja a fabricação de triciclos não-motorizados, peças e acessórios que sejam utilizados como produtos para saúde. Caso haja, será considerado Alto risco.","Haverá a fabricação de triciclos não-motorizados, peças e acessórios que sejam utilizados como produtos para saúde?",−,Não,Não,Interesse da saúde,"Sim, caso seja Alto Risco",,,
3250-7/03,FABRICAÇÃO DE APARELHOS E UTENSÍLIOS PARA CORREÇÃO DE DEFEITOS FÍSICOS E APARELHOS ORTOPÉDICOS EM GERAL SOB ENCOMENDA,Não,Alto,Não,−,−,−,Não,Não,Interesse da saúde,Sim,,,
3250-7/03,FABRICAÇÃO DE APARELHOS E UTENSÍLIOS PARA CORREÇÃO DE DEFEITOS FÍSICOS E APARELHOS ORTOPÉDICOS EM GERAL SOB ENCOMENDA: LABORATÓRIO/OFICINA DE PRÓTESE AUDITIVA,Não,Alto,Não,−,−,−,Não,Não,Interesse da saúde,Sim,,,
3250-7/03,FABRICAÇÃO DE APARELHOS E UTENSÍLIOS PARA CORREÇÃO DE DEFEITOS FÍSICOS E APARELHOS ORTOPÉDICOS EM GERAL SOB ENCOMENDA: LABORATÓRIO/OFICINA ÓRTESE E PRÓTESE,Não,Alto,Não,−,−,−,Não,Não,Interesse da saúde,Sim,,,
3250-7/06,SERVIÇOS DE PRÓTESE DENTÁRIA,Não,Baixo,Não,−,−,−,Sim,Não,Serviços de saúde,Não,,,
3250-7/07,FABRICAÇÃO DE ARTIGOS ÓPTICOS,Não,Baixo,Sim,"Desde que não haja fabricação de produto para saúde. Caso haja, será considerado Alto risco.",Haverá a fabricação de produto para saúde?,−,Não,Não,Interesse da saúde,"Sim, caso seja Alto Risco",,,
3250-7/09,SERVIÇOS DE LABORATÓRIOS ÓPTICOS,Não,Alto,Não,−,−,−,Não,Não,Serviços de saúde,Sim,,,
3291-4/00,"FABRICAÇÃO DE ESCOVAS, PINCÉIS E VASSOURAS",Não,Baixo,Sim,"Desde que não haja no exercício da atividade a fabricação de escova dental. Caso haja, será considerado Alto risco.",Haverá no exercício da atividade a fabricação de escova dental?,−,Não,Sim,Interesse da saúde,"Sim, caso seja Alto Risco",,,
3292-2/02,FABRICAÇÃO DE EQUIPAMENTOS E ACESSÓRIOS PARA SEGURANÇA PESSOAL E PROFISSIONAL,Não,Médio,Sim,"Desde que não haja no exercício da atividade a fabricação de artefatos de tecido não tecido para uso odonto- médico-hospitalar. Caso haja, será considerado Alto risco.",Haverá no exercício da atividade a fabricação de artefatos de tecido não tecido para uso odonto- médico-hospitalar?,−,Não,Sim,Interesse da saúde,"Sim, caso seja Alto Risco",,,
3299-0/06,"FABRICAÇÃO DE VELAS, INCLUSIVE DECORATIVAS",Não,Baixo,Sim,"Desde que não haja no exercício da atividade a fabricação de velas, sebo e/ou estearina utilizadas como cosmético ou saneante. Caso haja, será considerado Alto risco.","Haverá no exercício da atividade a fabricação de velas, sebo e/ou estearina utilizadas como cosmético ou saneante?",−,Não,Sim,Interesse da saúde,"Sim, caso seja Alto Risco",,,
3600-6/02,DISTRIBUIÇÃO DE ÁGUA POR CAMINHÕES,Não,Alto,Não,−,−,−,Não,Sim,Interesse da saúde,Sim,,,
3702-9/00,"ATIVIDADES RELACIONADAS A ESGOTO, EXECETO A GESTÃO DE REDES",Não,Médio,Não,−,−,−,Sim,Sim,Interesse da saúde,Sim,,,
3811-4/00,COLETA DE RESÍDUOS NÃO PERIGOSOS,Não,Médio,Não,−,−,−,Não,Sim,Interesse da saúde,Não,,,
3812-2/00,COLETA DE RESÍDUOS PERIGOSOS,Não,Médio,Não,−,−,−,Não,Não,Interesse da saúde,Não,,,
3821-1/00,TRATAMENTO E DISPOSIÇÃO DE RESÍDUOS NÃO PERIGOSOS,Não,Médio,Não,−,−,−,Não,Não,Interesse da saúde,Não,,,
3822-0/00,TRATAMENTO E DISPOSIÇÃO DE RESÍDUOS PERIGOSOS,Não,Médio,Não,−,−,−,Não,Não,Interesse da saúde,Não,,,
4617-6/00,"REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",Não,Baixo,Não,−,−,−,Sim,Não,Alimentos,Não,,,
4618-4/01,"REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE MEDICAMENTOS, COSMÉTICOS E PRODUTOS DE PERFUMARIA",Não,Baixo,Não,−,−,−,Sim,Não,Interesse da saúde,Não,,,
4618-4/02,REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE INSTRUMENTOS E MATERIAIS ODONTO MÉDICO HOSPITALARES,Não,Baixo,Não,−,−,−,Sim,Não,Interesse da saúde,Não,,,
4618-4/99,OUTROS REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO ESPECIALIZADO EM PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE,Não,Baixo,Não,−,−,−,Sim,Não,Interesse da saúde,Não,,,
4619-2/00,REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE MERCADORIAS EM GERAL NÃO ESPECIALIZADO,Não,Baixo,Não,−,−,−,Sim,Não,Interesse da saúde,Não,,,
4621-4/00,COMÉRCIO ATACADISTA DE CAFÉ EM GRÃO,Não,Médio,Não,−,−,Realiza importação e/ou exportação do produto?,Não,Não,Alimentos,Não,,,
4622-2/00,COMÉRCIO ATACADISTA DE SOJA,Não,Médio,Não,−,−,Realiza importação e/ou exportação do produto?,Não,Não,Alimentos,Não,,,
4623-1/05,COMÉRCIO ATACADISTA DE CACAU,Não,Médio,Não,−,−,Realiza importação e/ou exportação do produto?,Não,Não,Alimentos,Não,,,
4631-1/00,COMÉRCIO ATACADISTA DE LEITE E LATICÍNIOS,Não,Médio,Não,−,−,Realiza importação e/ou exportação do produto?,Não,Não,Alimentos,Não,,,
4632-0/01,COMÉRCIO ATACADISTA DE CEREAIS E LEGUMINOSAS BENEFICIADAS,Não,Médio,Não,−,−,Realiza importação e/ou exportação do produto?,Não,Não,Alimentos,Não,,,
4632-0/02,"COMÉRCIO ATACADISTA DE FARINHAS, AMIDOS E FÉCULAS",Não,Médio,Não,−,−,Realiza importação e/ou exportação do produto?,Não,Não,Alimentos,Não,,,
4632-0/03,"COMÉRCIO ATACADISTA DE CEREAIS E LEGUMINOSAS BENEFICIADAS, FARINHAS, AMIDOS E FÉCULA, COM ATIVIDADE DE FRACIONAMENTO E ACONDICIONAMENTO ASSOCIADA",Não,Médio,Sim,"Desde que não haja no exercício da atividade a realização de fracionamento, acondicionamento, embalagem e/ou rotulagem, consideradas etapas do processo produtivo. Caso haja, será considerado Alto risco.","Haverá no exercício da atividade a realização de fracionamento, acondicionamento, embalagem e/ou rotulagem, consideradas etapas do processo produtivo?",Realiza importação e/ou exportação do produto?,Não,Não,Alimentos,Não,,,
4633-8/01,"COMÉRCIO ATACADISTA DE FRUTAS, VERDURAS, RAÍZES, TUBÉRCULOS, HORTALIÇAS E LEGUMES FRESCOS",Não,Médio,Não,−,−,Realiza importação e/ou exportação do produto?,Não,Não,Alimentos,Não,,,
4633-8/02,COMÉRCIO ATACADISTA DE AVES VIVAS E OVOS,Não,Médio,Não,−,−,Realiza importação e/ou exportação do produto?,Não,Não,Alimentos,Não,,,
4634-6/01,COMÉRCIO ATACADISTA DE CARNES BOVINAS E SUÍNAS E DERIVADOS,Não,Médio,Não,−,−,Realiza importação e/ou exportação do produto?,Não,Não,Alimentos,Não,,,
4634-6/02,COMÉRCIO ATACADISTA DE AVES ABATIDAS E DERIVADOS,Não,Médio,Não,−,−,Realiza importação e/ou exportação do produto?,Não,Não,Alimentos,Não,,,
4634-6/03,COMÉRCIO ATACADISTA DE PESCADOS E FRUTOS DO MAR,Não,Médio,Não,−,−,Realiza importação e/ou exportação do produto?,Não,Não,Alimentos,Não,,,
4634-6/99,COMÉRCIO ATACADISTA DE CARNES E DERIVADOS DE OUTROS ANIMAIS,Não,Médio,Não,−,−,Realiza importação e/ou exportação do produto?,Não,Não,Alimentos,Não,,,
4635-4/01,COMÉRCIO ATACADISTA DE ÁGUA MINERAL,Não,Baixo,Não,−,−,Realiza importação e/ou exportação do produto?,Não,Não,Alimentos,Não,,,
4635-4/02,"COMÉRCIO ATACADISTA DE CERVEJA, CHOPE E REFRIGERANTE",Não,Baixo,Não,−,−,Realiza importação e/ou exportação do produto?,Não,Não,Alimentos,Não,,,
4635-4/03,COMÉRCIO ATACADISTA DE BEBIDAS COM ATIVIDADE DE FRACIONAMENTO E ACONDICIONAMENTO ASSOCIADA,Não,Médio,Sim,"Desde que não haja a realização de atividade de engarrafamento e/ou rotulagem, consideradas etapas do processo produtivo, de água mineral. Caso haja, será considerado Alto Risco.","Haverá a realização de atividade de engarrafamento e/ou rotulagem, consideradas etapas do processo produtivo, de água mineral?",−,Não,Não,Alimentos,Não,,,
4635-4/99,COMÉRCIO ATACADISTA DE BEBIDAS NÃO ESPECIFICADAS ANTERIORMENTE,Não,Médio,Não,−,−,Realiza importação e/ou exportação do produto?,Não,Não,Alimentos,Não,,,
4637-1/01,"COMÉRCIO ATACADISTA DE CAFÉ TORRADO, MOÍDO E SOLÚVEL",Não,Médio,Não,−,−,Realiza importação e/ou exportação do produto?,Não,Não,Alimentos,Não,,,
4637-1/02,COMÉRCIO ATACADISTA DE AÇÚCAR,Não,Médio,Não,−,−,Realiza importação e/ou exportação do produto?,Não,Não,Alimentos,Não,,,
4637-1/03,COMÉRCIO ATACADISTA DE ÓLEOS E GORDURAS,Não,Médio,Não,−,−,Realiza importação e/ou exportação do produto?,Não,Não,Alimentos,Não,,,
4637-1/04,"COMÉRCIO ATACADISTA DE PÃES, BOLOS, BISCOITOS E SIMILARES",Não,Baixo,Não,−,−,Realiza importação e/ou exportação do produto?,Não,Não,Alimentos,Não,,,
4637-1/05,COMÉRCIO ATACADISTA DE MASSAS ALIMENTÍCIAS,Não,Médio,Não,−,−,Realiza importação e/ou exportação do produto?,Não,Não,Alimentos,Não,,,
4637-1/06,COMÉRCIO ATACADISTA DE SORVETES,Não,Médio,Não,−,−,Realiza importação e/ou exportação do produto?,Não,Não,Alimentos,Não,,,
4637-1/07,"COMÉRCIO ATACADISTA DE CHOCOLATES, CONFEITOS, BALAS, BOMBONS E SEMELHANTES",Não,Baixo,Não,−,−,-,Não,Não,Alimentos,Não,,,
4637-1/99,COMÉRCIO ATACADISTA ESPECIALIZADO EM OUTROS PRODUTOS ALIMENTÍCIOS NÃO ESPECIFICADOS ANTERIORMENTE,Não,Médio,Não,−,−,Realiza importação e/ou exportação do produto?,Não,Não,Alimentos,Não,,,
4639-7/01,COMÉRCIO ATACADISTA DE PRODUTOS ALIMENTÍCIOS EM GERAL,Não,Médio,Não,−,−,Realiza importação e/ou exportação do produto?,Não,Não,Alimentos,Não,,,
4639-7/02,"COMÉRCIO ATACADISTA DE PRODUTOS ALIMENTÍCIOS EM GERAL, COM ATIVIDADE DE FRACIONAMENTO E ACONDICIONAMENTO ASSOCIADA",Não,Alto,Não,−,−,Realiza importação e/ou exportação do produto?,Não,Não,Alimentos,Não,,,
4644-3/01,COMÉRCIO ATACADISTA DE MEDICAMENTOS E DROGAS DE USO HUMANO,Não,Alto,Não,−,−,"Possui armazenamento de produtos?
Realiza importação e/ou exportação de produto?               
Comercializa ou transporta medicamentos sujeitos à Portaria Federal n° 344/98?",Não,Não,Medicamentos,Sim,,,
4645-1/01,"COMÉRCIO ATACADISTA DE INSTRUMENTOS E MATERIAIS PARA USO MÉDICO, CIRÚRGICO, HOSPITALAR E DE LABORATÓRIOS",Não,Alto,Não,−,−,Realiza importação e/ou exportação do produto?,Não,Não,Interesse da saúde,Sim,,,
